"nome_do_funcionario","item_comprado","valor_em_real","data_da_compra"
"CARRI ROBERT","CHAPEAU ET LUNGES","298.85","2024-09-13 17:51:59"
"PENELOPE JOY ROSS","BIC PEN","20.0","2024-07-10 11:18:56"
"Gonzalo","Alta velocidade","52.75","2024-07-30 16:04:22"
"Mrs. Cheryl Hale","Books","97.7","2024-07-15 15:57:25"
"Israel Adesola Adekunle","Food Catering","19.5","2024-12-25 11:46:40"
"TENDAI","ACRESCIMO DE GRAU E HONRARIA","168.94","2024-02-13 15:08:39"
"Thomas H","LAPTOP","4698.77","2024-04-17 12:03:57"
"Richella S.","Papel","2.59","2024-07-16 15:04:08"
"Ramakrishna S.","Fuel consumption of a vehicle","0.21","2024-05-18 15:41:47"
"Felix Neal","NEURO SCIENCE-BRAIN SURGERY","226.15","2024-01-22 10:15:38"
"Nicolas","Government","461.0","2024-05-21 01:43:35"
"Dzmitry Krasnou","Duvet cover for bed","299.0","2024-03-11 10:16:21"
"KALLIOPI TZALAVANOS","Máquina lava-louça","227.0","2024-11-25 09:40:14"
"Mrs. E.H.H.H.H.H.H.H.H.H.H.H.H.H.H.H.H.H.H.H.H.H.H.H.H.H.H.H.H.H.H","Computer Acquisition","2448.0","2024-10-12 10:52:03"
"TAYOYA, RACHEL A.","Market Research Services","2765.0","2024-01-29 11:15:00"
"Joseph Yap","Gaming Console","1395.65","2024-09-04 14:24:15"
"Ekpo, Ekpo Emmanuel","Development of Nigerian Solar Photovoltaic Market Potential (2019-2021)","2.79","2024-05-12 03:05:34"
"Frank Çakıcı","Notebook","2490.0","2024-03-16 16:41:26"
"KING, EDWARD","Office supplies","383.89","2024-06-14 01:43:31"
"Francis","Honoraria","320.0","2024-04-21 11:03:23"
"Anna J. Rasmussen","Samsung Galaxy A51","2999.0","2024-07-25 13:48:15"
"Mr. Anuj Kumar","Importação","78.86","2024-10-29 19:19:39"
"Ortiz Delgado, Joan","Casa","20743.16","2024-07-21 16:40:43"
"JAMES, ALEXANDER","Purchase","324.0","2024-01-05 16:47:14"
"KUMAR, SHIVENDRA","travel allowance","100.0","2024-02-20 11:30:00"
"Nguyễn Văn Phương","Pharmaceuticals","4.9","2024-08-18 10:58:06"
"SANTIAGO, WILLIAM","CONSUMO DE COMBUSTIVEL PARA VEICULO PRIVADO","50.0","2024-09-13 10:08:15"
"Amaechi Okogba","Office supplies - Furniture and equipment","549.0","2024-02-05 13:18:53"
"Gabriela Cecilia Cerda","Cheque de entrada de material","7.2","2024-05-20 11:25:24"
"Mrs. Amina Nelson","Office supplies","247.0","2024-08-28 08:27:10"
"Sotirios BANKLIS","Acessórios para serviços de comunicação e informática","467.5","2024-12-18 14:24:46"
"Anna","Notebook","4002.0","2024-09-24 15:45:51"
"DANIEL, JACOB","Surfboard","839.0","2024-05-05 12:45:01"
"KAMALAN NARAYANAN","Para o Governo do Estado do Rio Grande do Sul","2.0","2024-11-25 17:59:38"
"Mrs. Jasna Herman","Fuel","34.0","2024-09-19 18:27:02"
"BENJAMIN","Serviço de eletricidade","177.67","2024-10-11 11:30:38"
"Rajnath Singh","Mobile phone","5.2","2024-10-07 23:36:18"
"Rita","BOLSA DE PREÇOS - BOLSA","150.0","2024-05-16 08:15:50"
"Eugenia Pernot","Reforço para dieta","132.26","2024-05-04 09:18:59"
"Ana Belén Rodríguez González","Banana","13.69","2024-01-20 12:12:11"
"Rachel Taddeo","LENTE ESPECIAL 100% PORCELANA BRANCA/CLARO","105.1","2024-01-13 00:08:24"
"Akande Kamarudeen Olusegun","GRAMA 500","984.0","2024-04-08 14:38:13"
"ABUBAKAR, TAOHEED","Samsung Galaxy S9 Plus","1082.1","2024-12-28 08:01:15"
"MRS ELOHO OGHENERUMO OLUFOLARIN","BABY CLOTHES","84.99","2024-06-14 13:53:52"
"Kevin Mark","Informática","140.0","2024-03-21 15:18:17"
"Peter","Public Services","14.11","2024-11-12 09:32:09"
"FERNANDO CLÁUDINO","POÇÃO DE CERVEJA","36.0","2024-01-02 16:21:21"
"Akram","Government","182.77","2024-04-05 03:38:59"
"ABDOULAIE O.","Tênis (Sneaker)","136.0","2024-09-24 13:25:46"
"Vusani Bonakele PONO","Watermelon","1.69","2024-02-15 11:44:08"
"Mr. Swapnil Suryawanshi","Books","146.4","2024-12-30 10:31:02"
"DAMBISA WONDELA","Oil filter","15.62","2024-05-23 09:10:38"
"Maria","Savings account","175.0","2024-02-18 19:40:41"
"Kumar, Amit","PANADO","17.58","2024-08-29 16:51:49"
"Rudolfo","Escritório","111.44","2024-01-04 19:39:08"
"Kadambari","Não tenho nada","0.0","2024-05-04 11:58:48"
"Glen M. Cannon","Ferramentas em geral","2.26","2024-06-22 16:48:22"
"Kimberly","Ferro e aço","1.25","2024-03-27 04:04:52"
"Ms. Rosemary E. Waugh","Cotton duck canvas","348.95","2024-12-04 11:05:12"
"Keith, Dana","Hair Spray","15.5","2024-02-20 09:15:01"
"XIA, Jian","Government","0.0","2024-05-16 19:29:12"
"Jeffrey","GLOVES","3.41","2024-02-26 11:45:54"
"CZI25387","Maquina de copiar e ampliar","1718.0","2024-01-31 09:57:05"
"Yelena Sergeevna Petrova","Gasoline","14.0","2024-04-21 06:59:53"
"Sherman, Tom","Organização","116.66","2024-02-15 13:00:00"
"XINYOU SONG","Saudação","11.0","2024-06-09 09:31:36"
"Gary Fitzpatrick","Goods & Services Tax (GST)","147.2","2024-06-05 05:53:09"
"Ameer Hamza","Marble House","36.97","2024-04-07 18:02:00"
"Shafoor Khan","A SINGLE COMPUTER","568.0","2024-05-06 18:02:15"
"Mr. Andrew","Tea","1.99","2024-04-10 16:18:37"
"Kaleem","Cornerstone of Democracy","2.7399","2024-12-27 18:06:25"
"john","Laptop","3497.0","2024-03-26 03:46:38"
"Mrs Yvonne Phyllis Roberts","10000 Dell XPS 13 9360 i7 16GB 512GB - 13.3"" FHD - Fingerprint - Win 10","9831.0","2024-07-18 14:01:11"
"JOHN DOE","Medicine","109.5","2024-10-04 15:14:07"
"Davis, Melvin",14009003503841,"1.34","2024-04-03 12:58:23"
"GODWIN EMMANUEL","SALARY","1804.0","2024-07-14 11:26:46"
"Khairunnisa Epanain","Grande Pasta Altimentos Pasta, 500g","10.33","2024-05-12 08:09:15"
"Vincent","CUSTODIA POCKET_CUSTODIA POCKET_CUSTODIA POCKET_CUSTODIA POCKET_CUSTODIA POCKET_CUSTODIA POCKET_CUSTODIA POCKET_CUSTODIA POCKET_CUSTODIA POCKET_C","9.25","2024-06-16 14:52:33"
"Isaac Cox","Informática","20.0","2024-11-14 13:18:38"
"Mykhailo Vasilievich","Thyroid Gland","21.0","2024-05-08 11:12:34"
"Babatunde, Sunday A.","Purchase Stationery","183.39","2024-01-18 14:38:52"
"MAHMOUD TAHER","CHEVROLET SILVERADO CREW CAB LS","206402.0","2024-09-01 00:00:00"
"LETONIENE, Aivars","EQUIPAMENTOS ELETRONICOS COMPUTADORES","298.0","2024-02-02 01:56:33"
"Mrs. Rosalind Tucker","Computer mouse","196.0","2024-05-26 17:42:39"
"PRIYANKA BHARTANI","Mobile Phone","150.95","2024-07-10 06:02:44"
"Nathaniel Bartlett","Celular Pantelimon MX150S 3G-HSPA+ Quad Core 1.3GHz 1GB RAM Android 4.4 8.0 GB ROM 5.0","654.0","2024-02-21 15:05:45"
"Ngoc Tuyet Nguyen","BOMBILA","51.49","2024-12-10 17:03:10"
"MARIA ANTONETTA A. BAUTISTA","Office Supplies","19.0","2024-09-27 21:43:26"
"Tareq Ibrahim Elshahat","Travel","1135.0","2024-01-17 18:04:08"
"Giovanni Del Baldo","Salário","1398.0","2024-06-11 15:58:24"
"Priscilla-Susan Stanley","Projeto de Digitalização de Arquivo do Patrimônio Histórico","924.0","2024-10-12 08:02:29"
"Karen Harden","Detergent","52.35","2024-03-07 17:12:26"
"SRI HARI CHANDRA CHINTALA","Government","23.0","2024-11-03 20:30:21"
"Samuel Christopher","Computer","2499.0","2024-01-01 12:41:59"
"RAMANATHAN EMIL","CORREIAS","74.12","2024-10-26 12:37:47"
"Dennis A. Dziva","Food","6.06","2024-05-16 11:07:35"
"Edwin Ransome","Office Equipment","170.0","2024-06-28 00:58:34"
"Harold Stark","Veículos rodoviários","3866.0","2024-07-17 01:54:46"
"T.H.Murphy","Comando Militar","2455.0","2024-09-07 17:08:24"
"MICHAEL S. WILLIAMS","PAPER","52.2","2024-11-08 16:56:50"
"Sulaiman Abdulrasheed","Abuja","12100.0","2024-05-10 14:56:06"
"KEVIN KOVACS","SALON DE LA AVENIDA DE LOS LIBERALES 217","189.0","2024-03-13 15:21:19"
"Dipak Jha","Ink cartridge","78.5","2024-09-24 10:45:38"
"G. G. Peyton","GOTV 2018","138.66","2024-08-16 10:38:26"
"Mrs. Zulema Johnson","Washing machine","1215.0","2024-01-12 15:53:51"
"Winnie W.","International Energetic Conference","3.16","2024-06-28 11:20:59"
"Nkosi, Gloria","Magic Mouse 2","1089.99","2024-07-01 22:50:16"
"BENAUD THOMAS",1,"34.19","2024-09-15 19:16:52"
"Michael Barber","Sixth Sense Driving Assistance","1726.56","2024-01-22 05:36:17"
"Mrs. Sofia Turvey","Government","2.34","2024-02-27 09:27:10"
"QIAN, LIU","CAR","5625.0","2024-05-15 08:59:12"
"Faraji, KIKONI","Jelof rice","10.34","2024-10-12 07:48:05"
"KOURKOVA, ELENA","BATERIA DE AEROSOL 300ML","1.5","2024-06-03 19:49:13"
"James","Pasta de água 36x200ml","19.9","2024-06-05 17:14:33"
"JUANITA REGISTRADOR","ASSESSMENT AND IMPLEMENTATION OF E-LEARNING IN PUNJAB","27776.0","2024-04-26 15:07:34"
"Poynihan, Leonard","Geladeira","2299.99","2024-08-03 07:00:48"
"John Jacob Jingleheimer Schmidt","COLETA - 600","565.0","2024-05-22 13:52:04"
"Fadilah Binte Mohd Halim","Laptop","1299.0","2024-06-21 20:43:08"
"Chen Zhongzu","结石","347.0","2024-11-17 15:52:56"
"Juan Sánchez","Furniture","4093.0","2024-04-23 18:18:27"
"KHAN KHALID","Government","15.85","2024-09-19 17:48:37"
"Seyid Orujov","Purchase for the government","15412.69","2024-08-07 14:51:52"
"Roy M. Walsh","Repair services","248.67","2024-05-29 00:26:46"
"Frederick","Curricular Unit","24.9","2024-09-13 19:16:15"
"Chukwudi Nwankpa","HONOUR AMONG THIEVES","41.0","2024-04-15 03:31:54"
"Abdul Majeed","Business class air ticket","12160.0","2024-08-22 14:06:27"
"Dalton, Thomas","Manifold Wrenches","12.64","2024-02-24 16:17:16"
"Susan Haas","Computer and accessories","3342.62","2024-02-17 09:33:22"
"Li, Xiaojun","Laptop","7404.0","2024-08-12 10:17:43"
"AMAOUDI Mohamed","CONTRIBUICAO AO PLANO SAUDE CIVIL","12.43","2024-08-21 04:56:47"
"Abebaw","Reprogramação de sistema Linux","158.0","2024-01-22 16:50:45"
"PATRYCJA KLEPKOWSKA","MONITOR INTEL 22 INC","1669.0","2024-10-09 11:54:53"
"Mary","air conditioner","228.0","2024-06-29 17:59:54"
"Morris, Paul","SALARIO","1645.0","2024-06-03 09:12:35"
"N/A",1204972,"1.12","2024-01-28 00:00:00"
"Nyasha Musanhu","BANKING SERVICES","220.94","2024-08-23 11:24:19"
"John","Envelope","12.0","2024-03-24 10:13:53"
"Anna Worthington","material-de-limpeza","101.9","2024-03-09 16:24:40"
"Peter Heinrich","Mattress","1194.79","2024-06-15 09:32:32"
"Kevin Chan","Catering","102.44","2024-12-24 18:37:08"
"T. T. Nguyễn Văn","Lap-top mac book pro 13""","1788.0","2024-09-17 12:10:41"
"Franklin, Ricky","Cooking Stove","169.0","2024-04-28 13:46:34"
"BABAR MIRZA","CISCO","2737.29","2024-09-05 07:48:22"
"BENJAMIN FERRO","Amarelo","25.0","2024-04-27 15:51:45"
"CHIMAMNDA NWACHUKWU","Acer Aspire 3 A315-54G-77MP","2280.0","2024-06-22 17:42:06"
"Peter","Electricity bill","123.49","2024-04-27 14:34:51"
"Hancock, Wayne","Assistive Listening Device-Sennheiser EW 105 G3-H (EW 105 G3-H)","583.39","2024-09-10 17:19:03"
"HARYANI AMAL SELVAM","Water pump","179.0","2024-04-02 00:51:02"
"Pilar Garcia","Serviço de Limpeza","30.0","2024-03-29 16:07:34"
"Kristian","Carro","113400.0","2024-03-25 12:40:49"
